id,fecha,hora,contenido,objetivo,estado,gasto,presupuesto,duracion_dias,mercado,visualizaciones,alcance,interaccion,repro_3s,clics_enlace,repro_iniciales,likes_reacciones,guardados,compartidos,comentarios,visitas_perfil,seguidores,conversaciones,costo_resultado,likes_totales_post,comentarios_totales_post,geo_top
1,2026-05-11,11:19,"Terrantez do Pico — António Maçanita (reel con botella)",Visitas al perfil,Finalizada,406.38,728.00,7,LATAM mixto,16585,14447,,5325,,15405,386,84,45,1,402,85,,1.01,2940,55,"Santiago 5% · Lima 4.7% · Madrid 3% · Capital District 2.7% · Distrito Especial 2.6%"
2,2026-05-05,15:35,"Reel caminando en bodega (tanques/depósitos)",Combinación optimizada,Finalizada,1550.50,1552.00,8,España,31625,20452,9487,8094,1325,,44,16,5,3,1314,43,0,,2678,34,"Madrid 36.4% · Cataluña 11.6% · Galicia 10.4% · Andalucía 9.9% · C. Valenciana 7.5%"
3,2026-05-05,15:34,"Reel selfie hablando en viñedo (gorro Macabia)",Combinación optimizada,Finalizada,1549.70,1552.00,8,México,54151,37131,13077,10526,513,,1745,183,4,,506,164,0,,3780,26,"Edo. de México 12.3% · CDMX 11.9% · Jalisco 7.4% · Puebla 6.4% · Guanajuato 5.7%"
